,problem,answer,subject,unique_id
80,"Let $n = 108$, and $x_1, x_2, \dots, x_n$ be a sequence of $n$ positive numbers satisfying $0 < x_1 \leqslant x_2 \leqslant \cdots \leqslant x_n$ and $x_1 + x_2 \leqslant x_n$. Find the minimum value of $\left(x_1 + x_2 + \cdots + x_n\right)\left(\frac{1}{x_1} + \frac{1}{x_2} + \cdots + \frac{1}{x_n}\right)$.",210\sqrt{10}+11035,Algebra,OlymMATH-HARD-80-EN
81,"Through vertex $A$ of a regular tetrahedron $ABCD$, create a cross-section in the shape of an isosceles triangle, such that the angle between this cross-section and face $BCD$ is $75 ^{\circ}$. Find how many such cross-sections exist.",18,Geometry,OlymMATH-HARD-81-EN
82,"Let the sequence $\{a_n\}$ satisfy $a_0=0$, $a_{n+1}=\frac{8}{5}a_n+\frac{6}{5}\sqrt{4^n-a_n^2}\left(n\in\mathbb{N}\right)$. Find the decimal part of $\sum_{k=0}^{2005} a_k$ (expressed as a decimal).",0.84,Algebra,OlymMATH-HARD-82-EN
83,"In a rectangular coordinate system, $A(-1, 0), B(1, 0), C(0, 1)$. If there exists a parameter $a$ such that the line $l:y=ax+b$ divides the triangle $\triangle ABC$ into two parts of equal area, find the range of values for $b$.","\left[1-\frac{1}{\sqrt{2}}, \frac{1}{2}\right)",Geometry,OlymMATH-HARD-83-EN
84,"$a_1, a_2, \cdots, a_{2016}$ is a permutation of $1, 2, \cdots, 2016$, and satisfies $2017 | (a_1 a_2 + a_2 a_3 + \cdots + a_{2015} a_{2016})$. There are $K$ such permutations, find the remainder when $K$ is divided by $4066272$.",2016,Number Theory,OlymMATH-HARD-84-EN
85,"Given that $n$ is a positive integer not exceeding 2021, and satisfying $\left( \left[ \sqrt{n} \right]^2 + 1 \right) | \left( n^2 + 1 \right)$, find the number of such $n$.",47,Number Theory,OlymMATH-HARD-85-EN
86,"Find the number of ordered pairs of positive integers $(m,k)$ that satisfy the following conditions, where $3 \leqslant k \leqslant 12$ and $2 \leqslant m \leqslant 20$. Additionally, when $\frac{1}{k}$ is represented as a repeating decimal in base $m$, the digits in the repeating portion are all distinct, and by deleting the first few digits of the decimal part, we can obtain the base $m$ repeating decimal representations of $\frac{2}{k}, \cdots, \frac{k-1}{k}$.",21,Number Theory,OlymMATH-HARD-86-EN
87,"Given that a positive integer $n$ satisfies: in any consecutive $n$ positive integers, it is always possible to select two numbers $a$, $b$ ($a \neq b$), and there exists a positive integer $k$, such that $210|(a^k-b^k)$. Find the minimum value of $n$ that satisfies this condition.",9,Number Theory,OlymMATH-HARD-87-EN
88,"A tetrahedron $ABCD$ has vertices $A, B, C, D$. $M_1, \cdots, M_6$ are the midpoints of the six edges. If 4 points are selected randomly from these 10 points, find the probability that they are not coplanar.",\frac{47}{70},Combinatorics,OlymMATH-HARD-88-EN
89,"Let $a_1, a_2, a_3, a_4, a_5 \in [0, 1]$, find the maximum value of $\prod_{1 \le i < j \le 5} |a_i - a_j|$.",\frac{3\sqrt{21}}{38416},Algebra,OlymMATH-HARD-89-EN
90,"Find the remainder of $\sum_{k=0}^{1234}\binom{2016\times 1234}{2016k}$ modulo $2017^2$ (provide the value in the range $[0, 2017^2)$).",1581330,Number Theory,OlymMATH-HARD-90-EN
91,"Write out all positive integers from $1$ to $10000$ from left to right, then delete those numbers that are divisible by $5$ or $7$, and form a new number by connecting the remaining numbers in a row. Find the remainder when this new number is divided by $11$ (give the value in the range $[0, 11)$).",8,Number Theory,OlymMATH-HARD-91-EN
92,"Denote a decimal number of the form $0.a_1 a_2^{(k)} \cdots a_n^{(k)} \cdots$ as $A(a_1, k)$, where the digit $a_1$ can be any natural number from $1$ to $9$. When $a_1$ is given, $a_2^{(k)}$ equals the ones digit of the product $ka_1$, and $a_n^{(k)}$ equals the ones digit of the product $ka_{n-1}^{(k)}$, where $n=3, 4, \cdots$. Find the value of $\sum_{k=1}^9 \sum_{a_1=1}^9 A(a_1, k)$.",\frac{401}{9},Number Theory,OlymMATH-HARD-92-EN
93,"Let $S\subset \{1, 2, \cdots, 100\}$ be a set. It is known that for any two distinct elements $a, b$ in $S$, there exists a positive integer $k$ and two distinct elements $c, d$ in $S$ (which may equal $a$ or $b$), such that $c < d$ and $a + b = c^k d$. Find the maximum number of elements in set $S$.",48,Number Theory,OlymMATH-HARD-93-EN
94,"Let the sequence $\{a_n\}$ satisfy: (1) $a_1$ is a perfect square number (2) For any positive integer $n$, $a_{n + 1}$ is the smallest positive integer such that $2^na_1+2^{n-1}a_2+\cdots+2a_n+a_{n+1}$ is a perfect square number. If there exists a positive integer $s$ such that $a_s = a_{s + 1} = t$, find the minimum possible value of $t$.",31,Number Theory,OlymMATH-HARD-94-EN
95,"Given positive integers $x_1, x_2, \cdots, x_{2005}$ satisfying $\sum_{i = 1} ^ {2005} x_i = 432972$, find the maximum value of $\sum_{i = 1} ^ {2005} \gcd(x_i, x_{i+1}, x_{i+2})$, where the indices are taken modulo $2005$.",432756,Number Theory,OlymMATH-HARD-95-EN
96,"Find the smallest integer $m\ge 2017$ such that for any integers $a_1, a_2, \cdots, a_{m}$, there exist $1 < i_1 < i_2 < \cdots < i_{2017} \le m$ and $\varepsilon_1, \varepsilon_2, \cdots, \varepsilon_{2017} \in \{-1, 1\}$, such that $\sum_{j=1}^{2017}\varepsilon_j a_{i_j}$ is divisible by $2017$.",2027,Number Theory,OlymMATH-HARD-96-EN
97,"A positive integer is called a ""good number"" if it can be represented as the sum of squares of pairwise differences of $1893$ integers. Find the smallest positive integer $a$ that is not a perfect square, such that multiplying any good number by $a$ still yields a good number.",43,Number Theory,OlymMATH-HARD-97-EN
98,"Let $a_1, a_2, \cdots, a_{20}$ be $20$ distinct positive integers, and the set $\{a_i + a_j | 1 \le i, j \le 20\}$ contains $201$ distinct elements. Find the minimum possible number of distinct elements in the set $\{|a_i - a_j| | 1 \le i, j \le 20\}$.",100,Combinatorics,OlymMATH-HARD-98-EN
99,"Find the number of positive integers $t$ not exceeding $2009$ such that for all natural numbers $n$, $\sum_{k = 0}^n \binom{2n+1}{2k+1} t^k$ is coprime to $2009$.",980,Number Theory,OlymMATH-HARD-99-EN
